"date","close","volume","open","high","low"
"2016/08/18","2644.0450","0.0000","2624.7810","2644.0450","2623.4590"
"2016/08/17","2617.6250","0.0000","2623.1970","2623.5900","2603.6040"
"2016/08/16","2622.6370","0.0000","2627.1740","2631.6960","2618.6920"
"2016/08/15","2633.1050","0.0000","2612.8230","2641.5940","2612.4600"
"2016/08/12","2604.8780","0.0000","2591.3770","2605.5210","2589.2620"
"2016/08/11","2589.6110","0.0000","2580.9670","2593.2120","2576.5880"
"2016/08/10","2570.4820","0.0000","2584.6930","2584.6930","2564.1070"
"2016/08/09","2581.9680","0.0000","2580.2350","2589.5470","2579.1760"
"2016/08/08","2576.2720","0.0000","2584.2080","2590.5560","2572.1070"
"2016/08/05","2579.4860","0.0000","2555.3090","2581.8160","2555.3070"
"2016/08/04","2541.6010","0.0000","2527.2760","2543.4810","2525.7930"
"2016/08/03","2523.8890","0.0000","2508.3680","2523.8890","2504.8030"
"2016/08/02","2510.4270","0.0000","2545.3620","2548.7610","2496.7380"
"2016/08/01","2549.3330","0.0000","2548.5830","2555.4850","2539.5080"
"2016/07/29","2546.0000","0.0000","2560.0650","2560.8230","2536.0600"
"2016/07/28","2565.5600","0.0000","2562.0030","2572.5040","2553.3920"
"2016/07/27","2563.9570","0.0000","2578.9890","2580.7080","2549.9350"
"2016/07/26","2577.5260","0.0000","2527.3680","2581.0880","2527.2150"
"2016/07/25","2519.4560","0.0000","2515.1480","2519.4560","2509.0490"
"2016/07/22","2511.7060","0.0000","2494.8460","2511.7060","2481.2360"
"2016/07/21","2496.4970","0.0000","2512.2850","2518.0890","2489.7820"
"2016/07/20","2512.6750","0.0000","2491.2330","2516.2380","2486.1310"
"2016/07/19","2480.7940","0.0000","2484.1030","2491.1360","2475.1150"
"2016/07/18","2490.5070","0.0000","2476.2110","2493.5780","2476.2110"
"2016/07/15","2467.9490","0.0000","2472.4310","2476.4690","2461.7570"
"2016/07/14","2474.6640","0.0000","2482.7050","2483.3560","2469.2110"
"2016/07/13","2463.9630","0.0000","2468.5070","2476.4920","2460.9830"
"2016/07/12","2461.7520","0.0000","2453.4500","2464.2760","2449.4090"
"2016/07/11","2420.0640","0.0000","2410.7640","2427.1090","2410.7640"
"2016/07/08","2399.4030","0.0000","2367.7370","2400.9090","2363.1480"
"2016/07/07","2351.7810","0.0000","2338.6670","2362.6980","2338.4440"
"2016/07/06","2329.4500","0.0000","2302.7630","2332.0510","2289.0750"
"2016/07/05","2317.2070","0.0000","2333.9750","2334.2280","2303.3720"
